costat,curcd,datafmt,indfmt,consol,gvkey,fyear,act,at,lct,lt,pstkrv,seq,dvt,ni,capx,csho,derhedgl,dt,mkvalt,prcc_f
I,USD,STD,FS,C,002025,2013,,3608.8460,,1851.9110,,1752.1840,125.8550,,,,,,4224.1591,54.710000000000
I,USD,STD,INDL,C,002025,2013,,3608.8460,,1851.9110,53.9930,1752.1840,125.8550,182.7760,0.0000,77.2100,,1759.4280,4224.1591,54.710000000000
I,USD,STD,INDL,C,002044,2013,2090.4000,5041.1000,586.5000,2952.9000,0.0000,2088.2000,66.4000,689.8000,69.1000,77.4360,0.0000,1405.7000,10371.7778,133.940000000000
I,USD,STD,INDL,C,002049,2013,577.1960,2123.6730,300.3180,982.2590,0.0000,1141.4140,22.4220,270.5270,57.3040,53.9170,-0.7390,546.3500,2065.5603,38.310000000000
A,USD,STD,INDL,C,002052,2013,19.0270,62.7140,16.4470,40.3940,0.0000,21.7490,0.0000,-8.5630,4.1220,8.2770,,16.6400,28.5557,3.450000000000
A,USD,STD,INDL,C,002055,2013,6212.0000,37448.0000,2884.0000,21447.0000,0.0000,13533.0000,508.0000,-10366.0000,5501.0000,1164.6520,77.0000,13080.0000,20532.8148,17.630000000000
I,USD,STD,INDL,C,002061,2013,84.1640,130.2530,19.8400,43.0760,0.0000,87.1770,3.8660,13.2570,1.0550,11.2910,,20.3570,183.3658,16.240000000000
I,USD,STD,INDL,C,002073,2013,8.3670,45.6210,5.6730,21.2270,0.0000,24.3940,0.0000,3.9390,11.1950,1.7290,,9.0000,36.7413,21.250000000000
A,USD,STD,INDL,C,002080,2013,126.3740,225.8490,51.4410,68.4400,0.0000,157.4090,4.5650,5.0960,14.3020,10.8590,,2.7460,171.2464,15.770000000000
A,USD,STD,INDL,C,002086,2013,10004.0000,25869.0000,5906.0000,17383.0000,0.0000,8463.0000,1048.0000,2012.0000,1525.0000,543.0380,11.0000,8985.0000,37768.2929,69.550000000000
A,USD,STD,INDL,C,002101,2013,737.2800,1058.7060,245.9000,299.0910,0.0000,759.6150,37.1940,118.1490,12.2140,42.1690,,0.0000,2038.0278,48.330000000000
A,USD,STD,INDL,C,002109,2013,9.4670,17.1030,13.2880,13.5300,0.0000,3.5730,0.0000,-2.6000,0.0900,115.0000,,11.0760,80.5000,0.700000000000
A,USD,STD,INDL,C,002111,2013,5873.0000,12149.0000,2130.0000,7106.0000,0.0000,5043.0000,386.0000,1293.0000,522.0000,193.9990,-3.0000,3763.0000,19403.7800,100.020000000000
A,USD,STD,INDL,C,002113,2013,,,,,,,,,,,,,,0.004900000000
A,USD,STD,INDL,C,002124,2013,204.1940,308.0500,66.8900,79.3480,0.0000,228.7020,3.0980,15.9080,6.9400,11.5110,,0.0000,241.2322,21.310000000000
